id,nombre,descripcion,categoria,nivel
1,Introducción a Python,"Aprende los fundamentos de Python, desde variables hasta funciones. Ideal para principiantes.",Programación,Principiante
2,Machine Learning Básico,"Conoce los conceptos básicos de aprendizaje automático y cómo usar bibliotecas como Scikit-learn.",Inteligencia Artificial,Intermedio
3,Diseño Gráfico con Canva,"Descubre cómo crear diseños profesionales con herramientas básicas de Canva.",Diseño,Principiante
4,Java Avanzado,"Explora características avanzadas de Java, como multithreading, streams y patrones de diseño.",Programación,Avanzado
5,Fundamentos de Marketing Digital,"Aprende sobre SEO, SEM y redes sociales para posicionar productos y servicios.",Marketing,Principiante
6,Introducción a SQL,"Conoce las bases de datos relacionales y aprende a escribir consultas SQL.",Bases de Datos,Principiante
7,Deep Learning Avanzado,"Descubre cómo funcionan redes neuronales profundas usando TensorFlow y PyTorch.",Inteligencia Artificial,Avanzado
8,Fotografía Digital para Redes Sociales,"Aprende técnicas básicas de composición, iluminación y edición.",Fotografía,Principiante
9,Desarrollo Web Full Stack,"Construye aplicaciones web modernas usando HTML, CSS, JavaScript y frameworks como React.",Programación,Intermedio
10,Edición de Video con Adobe Premiere,"Domina herramientas para edición profesional de video y efectos visuales.",Diseño,Intermedio
11,Big Data y Análisis de Datos,"Aprende a trabajar con grandes volúmenes de datos utilizando Apache Spark y Hadoop.",Datos,Avanzado
12,Branding y Estrategias de Marca,"Descubre cómo crear una identidad de marca fuerte y campañas publicitarias exitosas.",Marketing,Intermedio
13,Programación en C#,"Domina los fundamentos de programación en C# para aplicaciones de escritorio y juegos.",Programación,Intermedio
14,Redacción Publicitaria Efectiva,"Aprende a escribir textos que conecten con la audiencia y generen conversión.",Marketing,Principiante
15,Ciberseguridad Básica,"Conoce las amenazas más comunes y cómo proteger sistemas y redes.",Ciberseguridad,Principiante
16,Desarrollo de Aplicaciones Android,"Aprende a crear apps móviles utilizando Kotlin y Android Studio.",Programación,Avanzado
17,Modelado 3D con Blender,"Descubre cómo crear modelos 3D realistas y animaciones.",Diseño,Intermedio
18,Machine Learning para Finanzas,"Aplicaciones de Machine Learning en análisis financiero y predicción de mercados.",Inteligencia Artificial,Avanzado
19,Análisis Exploratorio de Datos,"Domina herramientas de visualización y análisis para interpretar datos.",Datos,Intermedio
20,Fundamentos de Redes,"Aprende cómo funcionan las redes informáticas, desde conceptos básicos hasta protocolos.",Ciberseguridad,Principiante
21,Python para Análisis de Datos,"Aprende a utilizar pandas, NumPy y Matplotlib para explorar y analizar grandes conjuntos de datos.",Datos,Intermedio
22,Visualización de Datos con Tableau,"Crea dashboards interactivos y gráficos avanzados para presentar datos de manera efectiva.",Datos,Avanzado
23,Desarrollo de Juegos con Unity,"Diseña y programa videojuegos en 2D y 3D utilizando Unity y C#.",Programación,Intermedio
24,Fundamentos de UX/UI,"Descubre los principios del diseño centrado en el usuario y prototipos con herramientas como Figma.",Diseño,Principiante
25,Automatización con Python,"Automatiza tareas repetitivas y mejora tu productividad escribiendo scripts en Python.",Programación,Intermedio
26,Introducción a Blockchain,"Entiende cómo funciona la tecnología blockchain y sus aplicaciones en criptomonedas y contratos inteligentes.",Tecnología,Principiante
27,Gestión de Proyectos con Agile,"Aprende las bases de la metodología Agile y cómo aplicarla con Scrum y Kanban.",Negocios,Intermedio
28,Producción de Música Electrónica,"Crea y edita pistas musicales con software como Ableton Live y FL Studio.",Arte,Intermedio
29,Seguridad en Aplicaciones Web,"Aprende a identificar y mitigar vulnerabilidades comunes en aplicaciones web.",Ciberseguridad,Avanzado
30,Marketing de Contenidos,"Domina estrategias para crear contenido atractivo y aumentar la audiencia en redes sociales y blogs.",Marketing,Intermedio
31,Fundamentos de Tipografía,"Aprende los principios básicos de la tipografía y cómo seleccionar y combinar fuentes de manera efectiva.",Diseño,Principiante
32,Edición Avanzada de Imágenes con Photoshop,"Explora herramientas avanzadas de Photoshop para retoque fotográfico y creación de composiciones impactantes.",Diseño,Intermedio